,0,Synonym %,Model ID,loss,acc,f1,precision,recall,mcc,auc,runtime,samples_per_second,steps_per_second,epoch
82,eraser_movie_10_synonym_1_0,1,0,1.079674482345581,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6874999999999999,2.1029,95.107,6.182,1.0
93,eraser_movie_10_synonym_1_1,1,1,1.21240234375,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.643695652173913,2.0963,95.407,6.201,1.0
96,eraser_movie_10_synonym_1_2,1,2,1.1119906902313232,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6698913043478261,2.1146,94.582,6.148,1.0
77,eraser_movie_10_synonym_1_3,1,3,1.1726020574569702,0.5364583333333334,0.101010101010101,0.7142857142857143,0.05434782608695652,0.09154998652962187,0.7357608695652174,2.1096,94.805,6.162,1.0
92,eraser_movie_10_synonym_1_4,1,4,1.3037583827972412,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6680434782608695,2.0853,95.91,6.234,1.0
31,eraser_movie_10_synonym_1_5,1,5,1.2736629247665405,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6246739130434783,2.1047,95.026,6.177,1.0
58,eraser_movie_10_synonym_1_6,1,6,0.8589003086090088,0.5625,0.20754716981132076,0.7857142857142857,0.11956521739130435,0.17209144412382593,0.8072826086956522,2.0987,95.295,6.194,1.0
99,eraser_movie_10_synonym_1_7,1,7,1.3113881349563599,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6007608695652175,2.0935,95.533,6.21,1.0
29,eraser_movie_10_synonym_1_8,1,8,1.2937742471694946,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6771739130434783,2.0932,95.545,6.21,1.0
97,eraser_movie_10_synonym_1_9,1,9,1.2924283742904663,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6630434782608696,2.0958,95.43,6.203,1.0
66,eraser_movie_10_synonym_1_10,1,10,1.2609883546829224,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6267391304347827,2.1009,95.199,6.188,1.0
24,eraser_movie_10_synonym_1_11,1,11,1.1937016248703003,0.5260416666666666,0.099009900990099,0.5555555555555556,0.05434782608695652,0.03391042383775615,0.6472826086956521,2.0803,96.142,6.249,1.0
59,eraser_movie_10_synonym_1_12,1,12,1.344362735748291,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6714130434782609,2.1001,95.235,6.19,1.0
81,eraser_movie_10_synonym_1_13,1,13,1.3649193048477173,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6248913043478261,2.1054,94.995,6.175,1.0
16,eraser_movie_10_synonym_1_14,1,14,1.28084135055542,0.5260416666666666,0.06185567010309278,0.6,0.03260869565217391,0.03955107299466176,0.6308695652173912,2.1227,94.22,6.124,1.0
4,eraser_movie_10_synonym_1_15,1,15,1.3113881349563599,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6007608695652175,2.0955,95.441,6.204,1.0
62,eraser_movie_10_synonym_1_16,1,16,1.2937742471694946,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6771739130434783,2.1041,95.053,6.178,1.0
