,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,ID
7,LLama_complex,10,SVM,0,0.7666743066697227,0.7782135076252724,0.9659275283937264,0.6515870120394017,0.5992518568521267,0.9360291792306712,1.0,6.646897422032013e-64,LLama_complex100SVM
19,LLama_complex,10,SVM,1,0.7648407059362824,0.775,0.971412864211105,0.6446552353155782,0.6004532934275093,0.9380953516294332,1.0,6.646897422032013e-64,LLama_complex101SVM
24,Spelling_mistake,10,SVM,1,0.6536786614714646,0.6249689749317449,0.9774844720496896,0.4593214155417731,0.4677064420536067,0.9397488968492784,1.0,6.646897422032013e-64,Spelling_mistake101SVM
42,Synonym replacement,10,SVM,2,0.6348842539537016,0.5949656750572082,0.981543624161074,0.4268515140459686,0.4482254401271466,0.9388833806953008,0.996965091635306,3.698093220209433e-10,Synonym replacement102SVM
44,imbalanced,10,SVM,2,0.7545267018106807,0.7637326273990733,0.9659598214285714,0.6315213425757022,0.5834223511562099,0.9390678202083628,1.0,6.646897422032013e-64,imbalanced102SVM
54,ROS,10,SVM,3,0.5906486362594545,0.5209227467811158,0.983789260385005,0.3542502736227654,0.3978006792581069,0.9391410336979988,1.0,6.646897422032013e-64,ROS103SVM
58,Synonym replacement,10,SVM,3,0.6419894567957827,0.6057546693589096,0.9828009828009828,0.4377964246625319,0.457355679178119,0.9374204604599922,0.996965091635306,3.698093220209433e-10,Synonym replacement103SVM
92,imbalanced,20,SVM,0,0.8290167316066926,0.848435595286469,0.9573590096286108,0.7617657789128055,0.6808666474701621,0.9464644069977252,1.0,6.646897422032013e-64,imbalanced200SVM
116,ROS,20,SVM,2,0.7627779051111621,0.7728768926925609,0.9697136563876652,0.6424662531922656,0.5966356041265559,0.944628109211584,1.0,6.646897422032013e-64,ROS202SVM
145,ROS,20,SVM,4,0.7753839101535641,0.7882454624027658,0.9666136724960256,0.6654505654870485,0.6112455865294388,0.9451404911759188,1.0,6.646897422032013e-64,ROS204SVM
149,Summarization,20,SVM,4,0.8173275269310107,0.8384350293938779,0.9434306569343066,0.7544691718350967,0.6553487579178873,0.9326586595925864,1.0,6.646897422032013e-64,Summarization204SVM
151,Synonym replacement,20,SVM,4,0.7925739170295668,0.8080593849416756,0.9650455927051672,0.6950018241517695,0.6335098187662427,0.94453802625429,1.0,6.646897422032013e-64,Synonym replacement204SVM
153,imbalanced,20,SVM,4,0.8285583314233326,0.8490109002825998,0.9502937189335744,0.7672382342210872,0.6760962121605143,0.9440779396396952,1.0,6.646897422032013e-64,imbalanced204SVM
160,LLama_simple,50,SVM,0,0.8851707540683016,0.9061973413218498,0.9307692307692308,0.8828894564027727,0.7602156222335368,0.95131505372813,1.0,6.646897422032013e-64,LLama_simple500SVM
181,imbalanced,50,SVM,1,0.8837955535182214,0.9050028105677348,0.9302773497688752,0.8810653046333455,0.7575366607083989,0.949935468663052,1.0,6.646897422032013e-64,imbalanced501SVM
187,LLama_complex,50,SVM,2,0.8819619527847811,0.9032500469659966,0.9310611928737412,0.8770521707406056,0.7544689143152329,0.950703366830848,1.0,6.646897422032013e-64,LLama_complex502SVM
190,ROS,50,SVM,2,0.8787531515012607,0.9001321502737398,0.9327073552425664,0.8697555636628967,0.7492918157191688,0.9504860880874118,1.0,6.646897422032013e-64,ROS502SVM
195,Synonym replacement,50,SVM,2,0.8794407517763007,0.9008295625942684,0.9321108076472884,0.8715797154323239,0.7503017226791575,0.950314131980417,1.0,6.646897422032013e-64,Synonym replacement502SVM
198,paraphrase,50,SVM,2,0.8798991519596607,0.9013182674199622,0.9314908524717788,0.8730390368478658,0.7508994453010249,0.9512287945168382,1.0,6.646897422032013e-64,paraphrase502SVM
208,Summarization,50,SVM,3,0.8828787531515012,0.9051420085390756,0.9213907785336356,0.8894564027727107,0.7530258245943479,0.9499988978614464,1.0,6.646897422032013e-64,Summarization503SVM
