,Balancing method,Imbalance %,Model name,Model ID,loss,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,runtime,samples_per_second,steps_per_second,epoch,ID
1,LLama_simple,10,DistilBERT,1,0.6708589196205139,0.8311926605504587,0.8473029045643153,0.9812590100913022,0.7455275648046732,0.698066183504253,0.9634022602664598,0.9878787878787878,9.307459988955517e-08,42.2142,103.354,12.934,2.0,LLama_simple101
3,ROS,10,DistilBERT,2,1.0731345415115356,0.8121559633027523,0.8279050220634587,0.9752475247524752,0.7192405987586711,0.6671782746170115,0.9586557772788198,1.0,6.646897422032013e-64,41.5959,104.89,13.126,2.0,ROS102
6,Contextual_word_embedding,10,DistilBERT,3,1.0414769649505615,0.811697247706422,0.8265370800760616,0.9809428284854564,0.7141292442497261,0.670037039284347,0.9568193699029194,0.9878787878787878,9.307459988955517e-08,41.9435,104.021,13.018,2.0,Contextual_word_embedding103
7,LLama_complex,10,DistilBERT,3,0.6278846859931946,0.8428899082568807,0.8600040874718987,0.9767873723305478,0.7681635633442863,0.7127167992602422,0.9638637551721102,0.996965091635306,3.698093220209433e-10,42.532,102.582,12.837,2.0,LLama_complex103
8,LLama_simple,10,DistilBERT,3,0.6172627210617065,0.8307339449541284,0.8474576271186439,0.9766555502620295,0.7484483388097846,0.6946860355634,0.9628418896831228,0.996965091635306,3.698093220209433e-10,41.7072,104.61,13.091,2.0,LLama_simple103
9,LLama_complex,10,DistilBERT,4,0.6588147282600403,0.8419724770642202,0.8591290124718871,0.9763011152416357,0.7670682730923695,0.7110698163203915,0.963652715286022,1.0,6.646897422032013e-64,41.8334,104.295,13.052,2.0,LLama_complex104
12,Contextual_word_embedding,20,DistilBERT,0,0.6070431470870972,0.8665137614678899,0.8846611177170036,0.9674902470741222,0.8148959474260679,0.7441929855346838,0.965816380884426,0.996965091635306,3.698093220209433e-10,42.3851,102.937,12.882,2.0,Contextual_word_embedding200
13,LLama_complex,20,DistilBERT,0,0.4477865993976593,0.8642201834862385,0.8823996821613032,0.967755991285403,0.8108798831690398,0.7406748520092951,0.9665038934268846,0.9848069807617048,2.2888344854823721e-07,42.4512,102.777,12.862,2.0,LLama_complex200
14,ROS,20,DistilBERT,0,0.5653459429740906,0.8763761467889908,0.8942100098135427,0.966893039049236,0.8316903979554582,0.75985356293951,0.9659032067927368,0.9878787878787878,9.307459988955517e-08,42.3739,102.964,12.885,2.0,ROS200
16,Contextual_word_embedding,20,DistilBERT,1,0.5319222807884216,0.8811926605504588,0.8987490226739641,0.9671855279764408,0.8393574297188755,0.7679257885939855,0.9654029724416144,0.9878787878787878,9.307459988955517e-08,41.6553,104.741,13.108,2.0,Contextual_word_embedding201
