,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,ID
4,Contextual_word_embedding,10,LSTM,0,0.43731377492551,0.2629840888622035,0.7423728813559322,0.1597956950018241,0.0933917155221166,0.604414244848402,1.0,6.646897422032013e-64,Contextual_word_embedding100LSTM
6,LLama_complex,10,LSTM,0,0.4217281686912675,0.1686985172981878,0.8707482993197279,0.0933965705946734,0.1348858089412346,0.6989167777427393,1.0,6.646897422032013e-64,LLama_complex100LSTM
8,LLama_simple,10,LSTM,0,0.4171441668576667,0.1582257530619,0.8535714285714285,0.0871944545786209,0.1221015784639604,0.6968907546770036,0.9878787878787878,9.307459988955517e-08,LLama_simple100LSTM
9,ROS,10,LSTM,0,0.4354801741920697,0.2556663644605621,0.7447183098591549,0.1543232396935425,0.093245549180447,0.5857838296930522,0.9636363636363636,7.320974809529922e-06,ROS100LSTM
11,Spelling_mistake,10,LSTM,0,0.5972954389181756,0.6147774610830958,0.7703296703296704,0.5114921561473914,0.2487356762817034,0.6823924593929421,1.0,6.646897422032013e-64,Spelling_mistake100LSTM
12,Summarization,10,LSTM,0,0.4137061654824662,0.1574440052700922,0.8101694915254237,0.0871944545786209,0.1013759637565402,0.6426879179972927,0.9848069807617048,2.2888344854823721e-07,Summarization100LSTM
13,Synonym replacement,10,LSTM,0,0.5397662159064863,0.4908722109533468,0.8046550290939318,0.3531557825611091,0.225235269545578,0.677735924003723,0.9878787878787878,9.307459988955517e-08,Synonym replacement100LSTM
14,imbalanced,10,LSTM,0,0.5200550080220032,0.4633521271143003,0.7786391042204995,0.3298066399124407,0.1873972983772029,0.6665214392939836,0.9878787878787878,9.307459988955517e-08,imbalanced100LSTM
15,paraphrase,10,LSTM,0,0.5051570020628008,0.4343725438826303,0.7704460966542751,0.3024443633710325,0.168359471344384,0.6559008723089262,0.9878787878787878,9.307459988955517e-08,paraphrase100LSTM
17,Contextual_word_embedding,10,LSTM,1,0.3726793490717396,0.005089058524173,0.7,0.0025538124771981,0.0071171937930623,0.5585495361796099,0.9515151515151514,2.279854920641689e-05,Contextual_word_embedding101LSTM
18,LLama_complex,10,LSTM,1,0.3717625487050194,0.0,0.0,0.0,0.0,0.4470096281924342,-0.8181818181818182,0.0038149200825507,LLama_complex101LSTM
20,LLama_simple,10,LSTM,1,0.5537474214989686,0.4965089216446857,0.8525754884547069,0.3502371397300255,0.2737827185484783,0.7235731916717911,0.9636363636363636,7.320974809529922e-06,LLama_simple101LSTM
22,ROS,10,LSTM,1,0.4645885858354343,0.309692671394799,0.8149300155520995,0.1911711054359722,0.1606076796157746,0.6244614703607952,0.9393939393939392,5.484052998513666e-05,ROS101LSTM
23,Spelling_mistake,10,LSTM,1,0.5406830162732065,0.4959758551307847,0.7983805668016194,0.359722728931047,0.2212176415128385,0.6577487537961925,0.960490759014502,1.0163235882999593e-05,Spelling_mistake101LSTM
25,Summarization,10,LSTM,1,0.549851019940408,0.5077694235588972,0.811048839071257,0.369573148485954,0.2395688956395382,0.7029584772673803,1.0,6.646897422032013e-64,Summarization101LSTM
26,Synonym replacement,10,LSTM,1,0.6163190465276186,0.629646017699115,0.7998875772906127,0.5191535935789857,0.2947074510539387,0.7177125136811383,1.0,6.646897422032013e-64,Synonym replacement101LSTM
28,imbalanced,10,LSTM,1,0.4895713958285583,0.3812170047235343,0.7995337995337995,0.2502736227654141,0.1753690735467886,0.6658830986378017,0.9878787878787878,9.307459988955517e-08,imbalanced101LSTM
30,paraphrase,10,LSTM,1,0.5129498051799221,0.4331821819151774,0.8055555555555556,0.2962422473549799,0.2011140230359782,0.6471426945533212,0.9878787878787878,9.307459988955517e-08,paraphrase101LSTM
32,Contextual_word_embedding,10,LSTM,2,0.4480861792344717,0.2716273442226254,0.7946902654867256,0.163808828894564,0.1328443707763658,0.6431674607312532,0.9848069807617048,2.2888344854823721e-07,Contextual_word_embedding102LSTM
