,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
0,39,Contextual_word_embedding,10,LSTM,0,0.575,0.2857142857142857,0.8947368421052632,0.17,0.2557850580644795,0.6939000000000001,0.9358192003574064,6.866753113624135e-05
1,30,LLama,10,LSTM,0,0.565,0.2564102564102564,0.8823529411764706,0.15,0.2330737408884557,0.6857,0.8231860349807906,0.0034339368139028
2,19,LLama_complex,10,LSTM,0,0.56,0.2413793103448275,0.875,0.14,0.2211629342323457,0.7025,0.7967120548770816,0.0057989848208308
3,65,ROS,10,LSTM,0,0.525,0.1121495327102803,0.8571428571428571,0.06,0.1360323904477358,0.6093,0.8379092353041679,0.0024713611632489
4,98,Spelling_mistake,10,LSTM,0,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.5907,0.801489638010292,0.0053054716417302
5,118,Summarization,10,LSTM,0,0.5,0.0,0.0,0.0,0.0,0.5235000000000001,-0.049236596391733,0.8925556689885619
6,47,Synonym replacement,10,LSTM,0,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6015,0.5405395233092668,0.1067021895649416
7,89,imbalanced,10,LSTM,0,0.52,0.3043478260869565,0.5526315789473685,0.21,0.0509812741934581,0.585,0.4233447522064956,0.2228181042830319
8,84,Contextual_word_embedding,10,LSTM,1,0.51,0.0754716981132075,0.6666666666666666,0.04,0.0586210381760549,0.5558000000000001,0.5048713746045669,0.1366614761654033
9,83,LLama,10,LSTM,1,0.525,0.128440366972477,0.7777777777777778,0.07,0.1205957675487369,0.596,0.5062596541607013,0.1354087667753193
10,14,LLama_complex,10,LSTM,1,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.5849,0.3914537831560393,0.2632875529923414
11,111,ROS,10,LSTM,1,0.55,0.3283582089552239,0.6470588235294118,0.22,0.1331087170162505,0.6041999999999998,0.6878359394287946,0.0279157241318634
12,60,Spelling_mistake,10,LSTM,1,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.6206,0.8160123484559988,0.0039891443952871
13,72,Summarization,10,LSTM,1,0.5,0.0,0.0,0.0,0.0,0.5174000000000001,0.1875916198442167,0.6037816838313677
14,5,Synonym replacement,10,LSTM,1,0.52,0.0769230769230769,1.0,0.04,0.1428571428571428,0.6424,0.7816309677187628,0.0075710970103775
15,4,imbalanced,10,LSTM,1,0.52,0.1111111111111111,0.75,0.06,0.1020620726159657,0.5946,0.4001954556676623,0.2518186546708351
16,94,Contextual_word_embedding,10,LSTM,2,0.565,0.6200873362445415,0.5503875968992248,0.71,0.1358373882537626,0.5906,0.7012325483169698,0.0238505023296414
17,44,LLama,10,LSTM,2,0.5,0.0,0.0,0.0,0.0,0.5921000000000001,0.7517848542577158,0.0121539133217963
18,103,LLama_complex,10,LSTM,2,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.5865,0.5137830903923015,0.1287430267067993
